Id,SalePrice
1461,121286.43
1462,155126.95
1463,182001.56
1464,183461.22
1465,195017.21
1466,185716.85
1467,168906.81
1468,176585.65
1469,184132.48
1470,127476.18
1471,207620.95
1472,96184.0
1473,100648.87
1474,154911.53
1475,133634.96
1476,426135.51
1477,249485.26
1478,299495.12
1479,294792.82
1480,436413.01
1481,314171.25
1482,209455.87
1483,180911.72
1484,176930.78
1485,174425.96
1486,201207.0
1487,334487.39
1488,242960.85
1489,211062.06
1490,208211.68
1491,193138.3
1492,98402.99
1493,177821.8
1494,293664.04
1495,299972.78
1496,227258.15
1497,187728.03
1498,156353.48
1499,153855.81
1500,159201.91
1501,170543.98
1502,160456.33
1503,285333.62
1504,233922.55
1505,207977.52
1506,176395.24
1507,239783.87
1508,188676.88
1509,160304.0
1510,154918.46
1511,150469.09
1512,173523.05
1513,145398.45
1514,159222.39
1515,186041.36
1516,155067.17
1517,150105.68
1518,138108.86
1519,231890.01
1520,139188.09
1521,146653.59
1522,166212.5
1523,111945.34
1524,121451.08
1525,127283.49
1526,126303.67
1527,102992.93
1528,127968.17
1529,141588.5
1530,163608.59
1531,129920.34
1532,109736.58
1533,147745.06
1534,111980.12
1535,162064.97
1536,116485.38
1537,87845.44
1538,180648.25
1539,254273.75
1540,111600.16
1541,147784.82
1542,143260.48
1543,201000.87
1544,88105.11
1545,101467.37
1546,118948.87
1547,137358.44
1548,134810.8
1549,108766.11
1550,142597.35
1551,118930.19
1552,138077.12
1553,145484.72
1554,112085.7
1555,167252.5
1556,95560.54
1557,122265.14
1558,91860.43
1559,120474.87
1560,146751.71
1561,152741.34
1562,127118.93
1563,124776.16
1564,162146.11
1565,158283.68
1566,223066.44
1567,86640.69
1568,222706.5
1569,153531.35
1570,130019.0
1571,133769.11
1572,145819.32
1573,239766.93
1574,120082.78
1575,225503.34
1576,230340.29
1577,205008.66
1578,153030.08
1579,141606.6
1580,192237.66
1581,141265.25
1582,126256.68
1583,329096.4
1584,244424.58
1585,140777.0
1586,78031.65
1587,105024.22
1588,150076.44
1589,103498.95
1590,130933.0
1591,106337.17
1592,129984.25
1593,114403.47
1594,145177.96
1595,120849.18
1596,232375.89
1597,168719.32
1598,192321.06
1599,197948.4
1600,187374.9
1601,82328.22
1602,112353.8
1603,94929.23
1604,267697.93
1605,246600.46
1606,172516.0
1607,160841.38
1608,219664.25
1609,196657.72
1610,156666.4
1611,149499.43
1612,171370.1
1613,172918.77
1614,121393.53
1615,87492.26
1616,86770.8
1617,92885.53
1618,126165.5
1619,132727.5
1620,167906.54
1621,144539.61
1622,149775.03
1623,289399.08
1624,217278.88
1625,129212.83
1626,175577.5
1627,186802.56
1628,286046.68
1629,174681.9
1630,344713.74
1631,212681.31
1632,245216.21
1633,168843.14
1634,183169.25
1635,181450.8
1636,162208.14
1637,181952.34
1638,210186.27
1639,177227.0
1640,251830.72
1641,181706.48
1642,223397.57
1643,228926.52
1644,226048.05
1645,182743.55
1646,158398.5
1647,163888.07
1648,146902.59
1649,139716.37
1650,122501.68
1651,122527.92
1652,97263.0
1653,99973.0
1654,154722.06
1655,157238.8
1656,151749.0
1657,152536.06
1658,154952.93
1659,136702.1
1660,147344.71
1661,422019.01
1662,366291.77
1663,353670.63
1664,451494.75
1665,306669.56
1666,344757.57
1667,367878.35
1668,325299.54
1669,296576.3
1670,332041.73
1671,259828.96
1672,447427.69
1673,308228.15
1674,253073.36
1675,189107.07
1676,190123.05
1677,213910.52
1678,439309.38
1679,383418.24
1680,317961.55
1681,248496.38
1682,319475.01
1683,196941.8
1684,175171.24
1685,173615.15
1686,170069.1
1687,166556.44
1688,185254.77
1689,187618.8
1690,183537.63
1691,175174.98
1692,266710.69
1693,171141.1
1694,185152.4
1695,170563.03
1696,283010.19
1697,171268.43
1698,351653.65
1699,328320.71
1700,243253.34
1701,268999.76
1702,260243.86
1703,257813.8
1704,298148.82
1705,232171.96
1706,425496.54
1707,222083.72
1708,221345.35
1709,268866.61
1710,226928.67
1711,273831.65
1712,260995.9
1713,262679.39
1714,212404.03
1715,198984.28
1716,180543.85
1717,168143.53
1718,140081.1
1719,213481.31
1720,250659.98
1721,169583.25
1722,135615.0
1723,159593.82
1724,214809.77
1725,235881.11
1726,191310.0
1727,177244.4
1728,188453.55
1729,160340.54
1730,161174.2
1731,119347.16
1732,133484.26
1733,124796.65
1734,131361.67
1735,134589.0
1736,115053.36
1737,345472.49
1738,226640.78
1739,272330.91
1740,203077.82
1741,187851.91
1742,169021.21
1743,169589.0
1744,301428.13
1745,221681.39
1746,270556.84
1747,215277.57
1748,210748.43
1749,166637.87
1750,149212.59
1751,223407.52
